kVal,NoOfCoreBots,NoOfCoreEdges,NoOfCoreCC,NoOfCoreSCC
0,205431,844644,4.00E-05,52
1,180534,756263,4.64E-05,26
2,60343,623457,0.000342444,21
3,37868,569317,0.000794056,14
4,28277,531917,0.001330524,12
5,21936,495992,0.002061625,9
6,17243,457860,0.003080082,6
7,13748,420736,0.00445238,6
8,10957,381753,0.006360171,6
9,9074,352492,0.008563072,6
10,7434,325068,0.011765693,5
11,6752,314777,0.013811233,5
12,5708,293369,0.018011604,5
13,4397,263480,0.027262363,4
14,4100,256866,0.03056855,4
15,3820,250429,0.034332197,4
16,3574,244779,0.038336864,4
17,3143,231700,0.046925128,3
18,2774,219892,0.057171962,3
19,2626,214773,0.062314003,3
20,2459,208495,0.068989855,3
21,2248,200946,0.079562786,3
22,1974,191045,0.098105067,3
23,1430,175017,0.171293927,2
24,1394,173161,0.178347157,2
25,1377,172327,0.181899267,2
26,1354,170395,0.186024601,2
27,1338,169510,0.189512473,2
28,1313,166494,0.193299185,2
29,1299,165675,0.19651836,2
30,1286,165067,0.199777308,2
31,1264,163111,0.204344438,2
32,1234,161788,0.212666002,2
33,1212,159421,0.217234481,2
34,1175,157824,0.228821632,2
35,1141,155753,0.239483679,2
36,975,149173,0.314164166,1
37,966,148107,0.317761401,1
38,953,146228,0.322352236,1
39,945,145230,0.325598601,1
40,943,145152,0.326806303,1
41,933,143893,0.330957408,1
42,925,142144,0.332617293,1
43,891,135069,0.340657511,1
44,820,121705,0.362443789,1
45,799,119029,0.373364575,1
46,788,117533,0.379043337,1
47,779,117119,0.386491811,1
48,768,115594,0.392472023,1
49,763,114983,0.395534274,1
50,755,114387,0.401872574,1
51,745,112893,0.407350076,1
52,745,112893,0.407350076,1
53,732,110618,0.413454135,1
54,725,109825,0.418460659,1
55,720,109143,0.421662031,1
56,719,109088,0.422623498,1
57,717,108976,0.424549839,1
58,715,108448,0.424861413,1
59,714,108206,0.425102439,1
60,711,107608,0.426330699,1
61,711,107608,0.426330699,1
62,710,107547,0.427290967,1
63,708,107423,0.429214713,1
64,708,107423,0.429214713,1
65,704,107156,0.433030519,1
66,700,106896,0.436934396,1
67,697,106691,0.43986131,1
68,694,106490,0.442839261,1
69,693,106422,0.443835548,1
70,692,106284,0.444542968,1
71,692,106284,0.444542968,1
72,689,106071,0.447526749,1
73,688,105999,0.448524931,1
74,686,105853,0.450524569,1
75,682,105419,0.453959806,1
76,680,105269,0.455986312,1
77,679,105168,0.456892619,1
78,679,105168,0.456892619,1
79,678,105090,0.457902511,1
80,673,103875,0.459363723,1
81,671,103420,0.46008408,1
82,668,103177,0.463138191,1
83,659,101269,0.467084235,1
84,655,100937,0.471260826,1
85,650,100517,0.476553277,1
86,637,97996,0.48377319,1
87,622,93855,0.485965485,1
88,618,93507,0.490456484,1
89,612,92444,0.49444284,1
90,606,91910,0.50137741,1
91,591,89180,0.511514526,1
92,588,88907,0.515169952,1
93,583,87919,0.518228384,1
94,582,87826,0.519462238,1
95,571,85080,0.522813163,1
96,569,84885,0.525291468,1
97,569,84885,0.525291468,1
98,565,84283,0.52898387,1
99,552,81245,0.534239459,1
100,550,80522,0.533346581,1
101,547,80222,0.537209287,1
102,542,79681,0.543485823,1
103,538,79273,0.548780572,1
104,530,77432,0.552355816,1
105,529,77328,0.553703385,1
106,522,76593,0.563262515,1
107,518,76169,0.568837143,1
108,513,75626,0.575855872,1
109,508,75081,0.583026604,1
110,506,74863,0.585942942,1
111,497,73392,0.59544363,1
112,493,72948,0.601494088,1
113,488,71961,0.605589592,1
114,486,71723,0.608569853,1
115,480,70849,0.616292624,1
116,477,70504,0.621038352,1
117,475,70270,0.624206085,1
118,471,69802,0.630636491,1
119,0,0,0,0
